id,name
1,Henry IV
3206,Henry VI Part 1
6189,Henry VI Part 2
9523,Henry VI Part 3
12661,Alls well that ends well
15744,As you like it
18566,Antony and Cleopatra
22428,A Comedy of Errors
24483,Coriolanus
28475,Cymbeline
32433,Hamlet
36677,Henry V
40072,Henry VIII
43491,King John
46257,Julius Caesar
49028,King Lear
52794,Loves Labours Lost
55780,macbeth
58366,Measure for measure
61364,Merchant of Venice
64166,Merry Wives of Windsor
66997,A Midsummer nights dream
69297,Much Ado about nothing
72001,Othello
75763,Pericles
78404,Richard II
81341,Richard III
85282,Romeo and Juliet
88595,Taming of the Shrew
91401,The Tempest
93804,Timon of Athens
96466,Titus Andronicus
99192,Troilus and Cressida
102903,Twelfth Night
105551,Two Gentlemen of Verona
107908,A Winters Tale
